,,U.S.,Fees &,,,Regional Interest Rates,,,,,Regional Fees & Points,,
Year,Week,Interest Rate,Points,NE,SE,NC,SW ,W,NE,SE,NC,SW ,W
1990,5-Jan,9.83,2,9.69,9.84,9.87,9.8,9.98,2.4,1.9,2,1.9,1.6
,12-Jan,9.8,2,9.7,9.74,9.83,9.75,9.93,2.4,2,2,2,1.7
,19-Jan,9.9,2.1,9.78,9.86,9.93,9.83,10.08,2.5,1.9,2.1,2.3,1.7
,26-Jan,10.05,2.1,9.95,10,10.12,9.96,10.18,2.5,2.1,1.9,2.3,1.8
,2-Feb,10.17,2.1,10.02,10.15,10.21,10.14,10.34,2.5,2.1,2.1,2.1,1.8
,9-Feb,10.21,2.1,10.15,10.13,10.24,10.1,10.33,2.4,2.2,2.1,2.2,1.8
,16-Feb,10.1,2.1,9.96,10.09,10.17,10.09,10.21,2.5,2,2,2,1.8
,23-Feb,10.31,2.1,10.22,10.27,10.31,10.19,10.47,2.4,2,2,2.4,1.8
,2-Mar,10.23,2.1,10.13,10.18,10.3,10.13,10.38,2.5,2,2,2.2,1.7
,9-Mar,10.29,2.1,10.21,10.23,10.33,10.21,10.43,2.4,2.1,2,2.1,1.7
,16-Mar,10.34,2,10.26,10.29,10.36,10.25,10.47,2.3,2,2,2.1,1.7
,23-Mar,10.26,2,10.18,10.25,10.3,10.17,10.36,2.3,1.9,2,2.1,1.8
,30-Mar,10.22,2.1,10.15,10.16,10.27,10.15,10.34,2.3,2.1,1.9,2.2,1.8
,6-Apr,10.26,2,10.14,10.22,10.3,10.2,10.4,2.4,2,1.9,2,1.7
,13-Apr,10.25,2,10.13,10.23,10.28,10.2,10.4,2.5,1.9,2,2,1.7
,20-Apr,10.41,2.1,10.25,10.44,10.42,10.42,10.55,2.5,2,2.1,2,1.8
,27-Apr,10.56,2.1,10.39,10.55,10.63,10.61,10.67,2.5,2,1.9,1.7,1.9
,4-May,10.67,2.1,10.54,10.68,10.72,10.61,10.81,2.5,2,2.1,2,1.8
,11-May,10.54,2,10.39,10.49,10.6,10.55,10.67,2.5,2,1.9,1.8,1.8
